feature,pinball_degradation
consumer_confidence,5.3853728e-05
capacity_utilization,3.2423995e-05
fed_funds,2.7388334e-05
durable_orders,2.5149435e-05
nonfarm_payrolls,1.7455779e-05
industrial_production,1.4670193e-05
epu_index,5.708076e-06
returns,-2.1932647e-06
unemployment_rate,-5.205162e-06
housing_starts,-6.207265e-06
corp_bond_spread,-1.0486692e-05
t10y3m_spread,-1.7601065e-05
t10y2y_spread,-2.7377158e-05
pce_price_index,-3.230665e-05
hy_ccc_spread,-3.853161e-05
building_permits,-4.101917e-05
retail_sales,-4.6406873e-05
