feature,pinball_degradation
t10y3m_spread,0.00038071512
hy_ccc_spread,0.00021333038
building_permits,5.030795e-05
pce_price_index,2.8280308e-05
t10y2y_spread,2.544769e-05
epu_index,2.262462e-05
industrial_production,1.231418e-05
capacity_utilization,1.2091361e-05
fed_funds,6.779097e-06
returns,3.4144614e-06
durable_orders,9.84408e-07
retail_sales,-1.7753337e-06
unemployment_rate,-7.1784016e-06
housing_starts,-1.0253163e-05
nonfarm_payrolls,-1.0354212e-05
consumer_confidence,-1.3756333e-05
corp_bond_spread,-3.4397235e-05
