feature,pinball_degradation
corp_bond_spread,0.00076447264
t10y2y_spread,0.0001088914
consumer_confidence,5.917996e-05
unemployment_rate,5.113636e-05
industrial_production,4.474912e-05
pce_price_index,1.2618722e-05
nonfarm_payrolls,5.9176236e-06
fed_funds,-8.356059e-06
housing_starts,-9.8070595e-06
retail_sales,-1.0140939e-05
capacity_utilization,-1.0733493e-05
building_permits,-1.8927269e-05
epu_index,-1.935754e-05
returns,-2.9284274e-05
durable_orders,-4.8494665e-05
t10y3m_spread,-9.375042e-05
hy_ccc_spread,-0.000120453304
