feature,pinball_degradation
epu_index,5.6895427e-05
unemployment_rate,3.102701e-05
fed_funds,2.9023737e-05
housing_starts,2.0471402e-05
durable_orders,1.2408942e-05
consumer_confidence,1.0542572e-06
building_permits,-2.5546178e-06
returns,-3.057532e-06
corp_bond_spread,-5.9604645e-06
pce_price_index,-6.005168e-06
t10y2y_spread,-7.010065e-06
nonfarm_payrolls,-1.6306527e-05
retail_sales,-2.3053028e-05
t10y3m_spread,-2.578739e-05
hy_ccc_spread,-3.061071e-05
industrial_production,-3.9682724e-05
capacity_utilization,-8.284394e-05
