feature,pinball_degradation
retail_sales,8.089142e-05
industrial_production,8.046534e-05
building_permits,5.7414174e-05
capacity_utilization,4.968373e-05
consumer_confidence,3.7407735e-05
corp_bond_spread,1.8939842e-05
durable_orders,1.5032478e-05
fed_funds,1.5026424e-05
epu_index,1.4012447e-05
nonfarm_payrolls,9.547453e-06
t10y3m_spread,7.389346e-06
hy_ccc_spread,7.0217066e-06
housing_starts,5.426351e-06
unemployment_rate,4.6461355e-06
t10y2y_spread,-2.918765e-06
returns,-7.02776e-06
pce_price_index,-3.36417e-05
