feature,pinball_degradation
hy_ccc_spread,4.2662024e-05
corp_bond_spread,2.77441e-05
returns,2.1783635e-06
pce_price_index,3.6880374e-07
nonfarm_payrolls,-8.493662e-07
durable_orders,-1.931563e-06
unemployment_rate,-2.4754554e-06
building_permits,-5.009584e-06
industrial_production,-7.078983e-06
fed_funds,-7.197261e-06
retail_sales,-7.901341e-06
t10y3m_spread,-1.12932175e-05
consumer_confidence,-1.17029995e-05
capacity_utilization,-1.2150034e-05
housing_starts,-1.3282523e-05
epu_index,-1.663901e-05
t10y2y_spread,-2.011098e-05
