feature,pinball_degradation
durable_orders,1.5582424e-05
building_permits,1.3684388e-05
industrial_production,8.172821e-06
t10y2y_spread,7.4878335e-06
nonfarm_payrolls,4.4195913e-06
housing_starts,1.7131679e-06
t10y3m_spread,9.9185854e-08
returns,5.401671e-08
capacity_utilization,-1.3969839e-07
epu_index,-2.8698705e-06
unemployment_rate,-4.7204085e-06
consumer_confidence,-8.30926e-06
pce_price_index,-8.840114e-06
corp_bond_spread,-9.275973e-06
fed_funds,-1.1865515e-05
hy_ccc_spread,-1.3413373e-05
retail_sales,-1.9129366e-05
