feature,pinball_degradation
housing_starts,5.4711476e-05
returns,1.4303252e-05
pce_price_index,1.0496471e-05
industrial_production,-8.408446e-06
building_permits,-1.8246938e-05
epu_index,-2.7671922e-05
nonfarm_payrolls,-3.483193e-05
t10y2y_spread,-3.909925e-05
unemployment_rate,-3.9918814e-05
fed_funds,-4.245527e-05
t10y3m_spread,-4.60553e-05
capacity_utilization,-5.300669e-05
consumer_confidence,-6.44736e-05
durable_orders,-7.70092e-05
retail_sales,-0.00011038082
hy_ccc_spread,-0.00014717272
corp_bond_spread,-0.0001559523
