feature,pinball_degradation
consumer_confidence,0.00030285865
fed_funds,4.941784e-05
corp_bond_spread,3.052666e-05
unemployment_rate,3.0035386e-05
t10y2y_spread,2.772524e-05
retail_sales,1.2830831e-05
nonfarm_payrolls,5.542068e-06
durable_orders,4.723668e-06
returns,3.592344e-06
hy_ccc_spread,2.5231857e-06
capacity_utilization,2.300134e-06
industrial_production,-6.847549e-07
pce_price_index,-1.5881378e-06
epu_index,-3.6477577e-06
building_permits,-1.2295088e-05
housing_starts,-1.532049e-05
t10y3m_spread,-3.8525788e-05
