feature,pinball_degradation
consumer_confidence,7.306156e-05
unemployment_rate,4.851632e-05
t10y3m_spread,4.8195012e-05
corp_bond_spread,4.60858e-05
housing_starts,1.9699102e-05
t10y2y_spread,1.3941666e-05
durable_orders,7.823808e-06
retail_sales,6.0701277e-06
capacity_utilization,6.0636085e-06
industrial_production,4.7241338e-06
pce_price_index,4.513189e-06
fed_funds,1.1797529e-06
returns,6.821938e-08
nonfarm_payrolls,-2.4342444e-06
epu_index,-1.2977747e-05
building_permits,-2.0242296e-05
hy_ccc_spread,-2.2882363e-05
