feature,pinball_degradation
capacity_utilization,0.00016118679
industrial_production,8.187629e-05
t10y2y_spread,5.2846037e-05
pce_price_index,2.1893531e-05
fed_funds,1.8921215e-05
retail_sales,1.6124919e-05
durable_orders,1.4510471e-05
t10y3m_spread,1.4491379e-05
corp_bond_spread,1.2856908e-05
consumer_confidence,1.281919e-05
building_permits,1.224922e-05
nonfarm_payrolls,8.653384e-06
hy_ccc_spread,5.903654e-06
epu_index,-1.417473e-06
returns,-1.891749e-05
unemployment_rate,-2.2209715e-05
housing_starts,-2.4580862e-05
