feature,pinball_degradation
corp_bond_spread,0.0002247123
hy_ccc_spread,0.0002125036
epu_index,0.00015703961
retail_sales,9.824708e-05
unemployment_rate,9.3496405e-05
industrial_production,6.7533925e-05
nonfarm_payrolls,5.7434663e-05
durable_orders,5.7071447e-05
fed_funds,5.2072108e-05
t10y3m_spread,3.8034283e-05
consumer_confidence,1.1047348e-05
capacity_utilization,6.735325e-06
returns,-1.1533499e-05
t10y2y_spread,-1.6094185e-05
building_permits,-2.2374094e-05
pce_price_index,-7.039029e-05
housing_starts,-0.00011950731
