feature,pinball_degradation
building_permits,6.694591e-05
t10y2y_spread,4.3116743e-05
housing_starts,1.032243e-05
corp_bond_spread,6.923452e-06
pce_price_index,3.7756981e-06
industrial_production,9.867363e-07
returns,3.282912e-07
hy_ccc_spread,-3.1384407e-06
consumer_confidence,-5.6487042e-06
unemployment_rate,-1.0390184e-05
durable_orders,-1.3292069e-05
capacity_utilization,-1.9965111e-05
fed_funds,-2.419576e-05
epu_index,-2.4792156e-05
nonfarm_payrolls,-2.4978071e-05
retail_sales,-3.38729e-05
t10y3m_spread,-8.2525774e-05
