feature,pinball_degradation
building_permits,8.637551e-05
housing_starts,4.6617817e-05
retail_sales,4.5023393e-05
nonfarm_payrolls,2.327282e-05
fed_funds,1.7334707e-05
returns,8.825911e-06
corp_bond_spread,5.533686e-06
pce_price_index,1.1953525e-06
epu_index,-8.071773e-06
hy_ccc_spread,-3.3587683e-05
durable_orders,-3.3997465e-05
industrial_production,-3.877678e-05
t10y3m_spread,-4.0864106e-05
consumer_confidence,-4.5724213e-05
capacity_utilization,-7.966766e-05
unemployment_rate,-0.00012809923
t10y2y_spread,-0.0001793066
