feature,pinball_degradation
epu_index,2.3243949e-05
t10y3m_spread,8.8461675e-06
nonfarm_payrolls,3.3881515e-06
returns,1.2721866e-06
housing_starts,-1.2810342e-06
pce_price_index,-2.173707e-06
t10y2y_spread,-2.8950162e-06
industrial_production,-6.040558e-06
building_permits,-1.0394957e-05
durable_orders,-1.0521617e-05
capacity_utilization,-1.434423e-05
retail_sales,-1.4543068e-05
consumer_confidence,-1.9230414e-05
hy_ccc_spread,-2.469495e-05
fed_funds,-2.7503353e-05
unemployment_rate,-2.7535483e-05
corp_bond_spread,-3.3881515e-05
