feature,pinball_degradation
hy_ccc_spread,9.8490156e-05
fed_funds,5.184859e-05
pce_price_index,2.5875866e-05
t10y2y_spread,1.4740974e-05
nonfarm_payrolls,5.4379925e-06
retail_sales,1.1483207e-06
building_permits,7.8231096e-07
t10y3m_spread,-4.717149e-06
returns,-5.961396e-06
capacity_utilization,-1.2908131e-05
durable_orders,-1.38916075e-05
industrial_production,-1.7655082e-05
epu_index,-3.0349009e-05
housing_starts,-4.2416155e-05
unemployment_rate,-5.5224635e-05
consumer_confidence,-5.8068894e-05
corp_bond_spread,-7.228553e-05
