feature,pinball_degradation
capacity_utilization,8.6260494e-05
retail_sales,6.092922e-05
housing_starts,5.7677273e-05
industrial_production,5.4689823e-05
consumer_confidence,5.013938e-05
nonfarm_payrolls,4.5921886e-05
hy_ccc_spread,3.9367704e-05
corp_bond_spread,9.987038e-06
epu_index,7.285038e-06
pce_price_index,5.7488214e-06
unemployment_rate,1.7031562e-06
returns,3.3644028e-07
durable_orders,-1.19586475e-05
t10y3m_spread,-1.8772902e-05
t10y2y_spread,-2.5694491e-05
building_permits,-2.7626287e-05
fed_funds,-5.0478848e-05
