feature,pinball_degradation
epu_index,7.840991e-05
fed_funds,5.520694e-05
housing_starts,4.5485795e-05
consumer_confidence,3.4425408e-05
pce_price_index,2.7310103e-05
durable_orders,2.3219734e-05
nonfarm_payrolls,2.0198524e-05
building_permits,1.8995255e-05
retail_sales,8.057803e-06
t10y3m_spread,2.6114285e-06
industrial_production,1.2777746e-06
returns,2.2538006e-07
capacity_utilization,-5.606562e-07
hy_ccc_spread,-2.9876828e-06
corp_bond_spread,-7.908791e-06
unemployment_rate,-1.0024756e-05
t10y2y_spread,-5.3606927e-05
