feature,pinball_degradation
fed_funds,7.1695074e-05
nonfarm_payrolls,6.055273e-05
building_permits,2.7301721e-05
housing_starts,2.5651418e-05
pce_price_index,2.1783635e-05
corp_bond_spread,1.9894913e-05
unemployment_rate,3.6098063e-06
t10y3m_spread,-1.1493452e-05
returns,-2.7145725e-05
hy_ccc_spread,-2.9999763e-05
consumer_confidence,-4.763156e-05
t10y2y_spread,-4.925579e-05
durable_orders,-5.7142228e-05
epu_index,-7.2994735e-05
industrial_production,-0.00012232643
retail_sales,-0.00016280822
capacity_utilization,-0.00016812421
