feature,pinball_degradation
corp_bond_spread,5.8497884e-05
returns,5.229097e-05
durable_orders,9.332551e-06
retail_sales,1.7496059e-06
building_permits,-1.9376166e-06
capacity_utilization,-1.1340133e-05
housing_starts,-1.7195707e-05
nonfarm_payrolls,-1.9111205e-05
consumer_confidence,-2.6307767e-05
t10y2y_spread,-3.6838814e-05
t10y3m_spread,-3.7606223e-05
fed_funds,-3.8188882e-05
unemployment_rate,-4.3694396e-05
industrial_production,-4.700874e-05
epu_index,-5.23692e-05
pce_price_index,-5.5926153e-05
hy_ccc_spread,-5.871826e-05
