feature,pinball_degradation
retail_sales,7.54809e-05
corp_bond_spread,2.5442801e-05
consumer_confidence,1.6256236e-05
unemployment_rate,1.0418706e-05
t10y3m_spread,7.5511634e-06
building_permits,5.846843e-06
returns,5.667098e-06
pce_price_index,9.192154e-07
capacity_utilization,-4.151836e-06
epu_index,-1.2700446e-05
housing_starts,-1.3328157e-05
fed_funds,-1.7326325e-05
hy_ccc_spread,-2.9831193e-05
industrial_production,-5.0810166e-05
nonfarm_payrolls,-6.02901e-05
durable_orders,-6.118789e-05
t10y2y_spread,-8.6427666e-05
