feature,pinball_degradation
capacity_utilization,0.00011214288
t10y2y_spread,5.2268617e-05
industrial_production,2.4264213e-05
epu_index,1.637917e-05
t10y3m_spread,1.2817793e-05
pce_price_index,1.2726057e-05
nonfarm_payrolls,5.5613928e-06
returns,2.2551976e-06
housing_starts,1.9767322e-06
durable_orders,3.1804666e-07
building_permits,-3.13716e-06
unemployment_rate,-1.0036863e-05
hy_ccc_spread,-1.47852115e-05
fed_funds,-1.5406404e-05
retail_sales,-1.6617123e-05
corp_bond_spread,-2.010446e-05
consumer_confidence,-2.095988e-05
