feature,pinball_degradation
nonfarm_payrolls,0.00016513816
corp_bond_spread,6.2434934e-05
t10y3m_spread,3.1207222e-05
pce_price_index,1.7343555e-05
returns,7.48015e-06
fed_funds,6.9653615e-06
hy_ccc_spread,6.5625645e-06
industrial_production,4.57e-06
retail_sales,2.420973e-06
capacity_utilization,-1.1002645e-05
t10y2y_spread,-1.4190562e-05
building_permits,-1.4986843e-05
unemployment_rate,-2.7900795e-05
housing_starts,-3.1848904e-05
epu_index,-3.254437e-05
durable_orders,-0.000102546066
consumer_confidence,-0.00016873982
