feature,pinball_degradation
corp_bond_spread,6.778049e-05
building_permits,2.8329203e-05
returns,1.9034487e-05
fed_funds,1.1450378e-05
t10y3m_spread,6.8198424e-06
hy_ccc_spread,1.5369151e-06
nonfarm_payrolls,-1.8787105e-06
unemployment_rate,-5.0337985e-06
epu_index,-7.65291e-06
durable_orders,-9.54885e-06
industrial_production,-1.7045997e-05
capacity_utilization,-1.804321e-05
t10y2y_spread,-1.8859748e-05
pce_price_index,-1.9585597e-05
housing_starts,-1.988688e-05
consumer_confidence,-3.138557e-05
retail_sales,-3.7828926e-05
