feature,pinball_degradation
nonfarm_payrolls,3.3175573e-05
unemployment_rate,2.9562041e-05
consumer_confidence,2.8062612e-05
pce_price_index,2.7854927e-05
t10y2y_spread,2.4862587e-05
building_permits,2.3113564e-05
housing_starts,2.2304244e-05
t10y3m_spread,4.3632463e-06
returns,3.5949051e-06
retail_sales,2.9923394e-06
corp_bond_spread,-4.786998e-07
fed_funds,-4.6696514e-06
hy_ccc_spread,-1.8883497e-05
industrial_production,-2.2268854e-05
epu_index,-2.4819747e-05
capacity_utilization,-6.7400746e-05
durable_orders,-7.5645745e-05
