feature,pinball_degradation
pce_price_index,6.445823e-05
hy_ccc_spread,5.6037097e-05
building_permits,2.5524292e-05
t10y3m_spread,1.7534127e-05
corp_bond_spread,1.5145284e-05
fed_funds,4.6505593e-06
returns,3.1855889e-06
industrial_production,2.8655631e-06
t10y2y_spread,2.0397129e-06
epu_index,1.4980324e-06
housing_starts,1.4677644e-06
nonfarm_payrolls,-9.102514e-07
consumer_confidence,-2.3852335e-06
unemployment_rate,-3.9538136e-06
capacity_utilization,-4.44334e-06
durable_orders,-2.5482732e-05
retail_sales,-4.837045e-05
