feature,pinball_degradation
consumer_confidence,1.2619421e-05
building_permits,1.16163865e-05
fed_funds,9.21078e-06
housing_starts,8.4722415e-06
corp_bond_spread,7.4524432e-06
industrial_production,3.4105033e-06
nonfarm_payrolls,2.7734786e-06
returns,2.7408823e-06
capacity_utilization,9.750947e-07
hy_ccc_spread,8.6613e-07
pce_price_index,-8.8848174e-07
retail_sales,-1.3504177e-06
epu_index,-2.0610169e-06
durable_orders,-3.2847747e-06
t10y2y_spread,-7.341616e-06
t10y3m_spread,-1.0859221e-05
unemployment_rate,-1.6096048e-05
