feature,pinball_degradation
retail_sales,1.8700957e-05
hy_ccc_spread,1.0943972e-05
capacity_utilization,1.0556541e-05
returns,8.022413e-06
corp_bond_spread,2.1606684e-06
housing_starts,1.9231811e-06
epu_index,3.7252903e-08
pce_price_index,-9.48552e-06
building_permits,-1.1531636e-05
t10y3m_spread,-1.563225e-05
unemployment_rate,-1.7165206e-05
industrial_production,-2.6217196e-05
fed_funds,-2.772687e-05
nonfarm_payrolls,-3.3333898e-05
durable_orders,-3.5073142e-05
consumer_confidence,-4.9170572e-05
t10y2y_spread,-8.670753e-05
