feature,pinball_degradation
building_permits,4.840223e-05
retail_sales,2.9328745e-05
returns,1.43013895e-05
housing_starts,8.766539e-06
nonfarm_payrolls,7.6005235e-06
durable_orders,3.5054982e-06
t10y2y_spread,5.806796e-07
consumer_confidence,-2.1208543e-05
corp_bond_spread,-2.3147091e-05
capacity_utilization,-2.6864e-05
pce_price_index,-4.5492314e-05
hy_ccc_spread,-4.7780573e-05
unemployment_rate,-4.8414804e-05
t10y3m_spread,-6.636977e-05
fed_funds,-7.242337e-05
epu_index,-7.6687895e-05
industrial_production,-8.210167e-05
