feature,pinball_degradation
epu_index,3.4927856e-05
capacity_utilization,2.7069822e-05
nonfarm_payrolls,2.1011569e-05
t10y2y_spread,1.4109537e-05
durable_orders,9.368174e-06
industrial_production,5.5744313e-06
unemployment_rate,2.3897737e-06
corp_bond_spread,2.1732412e-06
pce_price_index,-8.852221e-07
retail_sales,-1.5916303e-06
returns,-2.0647421e-06
housing_starts,-9.432435e-06
t10y3m_spread,-1.1138618e-05
hy_ccc_spread,-1.263991e-05
fed_funds,-1.924159e-05
consumer_confidence,-2.2886787e-05
building_permits,-5.1070936e-05
