feature,pinball_degradation
t10y2y_spread,5.8133155e-05
unemployment_rate,3.171712e-05
fed_funds,2.7412083e-05
hy_ccc_spread,2.4999958e-05
corp_bond_spread,1.9818544e-05
t10y3m_spread,1.9627623e-05
building_permits,1.5451573e-05
housing_starts,7.030554e-06
consumer_confidence,2.8964132e-07
returns,-1.6698614e-06
capacity_utilization,-9.35141e-06
epu_index,-1.1802651e-05
retail_sales,-2.0394567e-05
nonfarm_payrolls,-2.1999702e-05
industrial_production,-2.6411377e-05
pce_price_index,-2.7591363e-05
durable_orders,-5.1094685e-05
