feature,pinball_degradation
building_permits,9.979121e-06
t10y2y_spread,9.915791e-06
unemployment_rate,6.825663e-06
durable_orders,6.3395128e-06
consumer_confidence,4.939735e-06
fed_funds,4.5485795e-06
capacity_utilization,1.5078112e-06
returns,1.7881393e-07
epu_index,-5.736947e-07
t10y3m_spread,-1.3215467e-06
nonfarm_payrolls,-1.9362196e-06
corp_bond_spread,-2.503395e-06
pce_price_index,-7.376075e-06
hy_ccc_spread,-9.067357e-06
retail_sales,-1.3165176e-05
industrial_production,-1.5079975e-05
housing_starts,-1.5114434e-05
