feature,pinball_degradation
returns,2.8787996e-05
pce_price_index,2.0181527e-05
retail_sales,1.9773375e-05
capacity_utilization,1.089694e-05
nonfarm_payrolls,6.3697807e-06
housing_starts,1.1594966e-06
hy_ccc_spread,-4.8440415e-07
t10y2y_spread,-9.9116e-07
corp_bond_spread,-1.2289966e-06
fed_funds,-4.6371715e-06
unemployment_rate,-7.7476725e-06
consumer_confidence,-8.555828e-06
durable_orders,-1.2939563e-05
building_permits,-1.9494677e-05
epu_index,-2.2755004e-05
t10y3m_spread,-4.0474115e-05
industrial_production,-4.490721e-05
