feature,pinball_degradation
t10y3m_spread,1.7593615e-05
unemployment_rate,1.2077158e-05
t10y2y_spread,1.0604737e-05
consumer_confidence,9.6915755e-06
capacity_utilization,1.9788276e-06
epu_index,1.9152649e-06
retail_sales,1.4442485e-06
durable_orders,1.3408717e-06
returns,4.4563785e-07
housing_starts,1.9534491e-07
nonfarm_payrolls,-1.1485536e-06
pce_price_index,-1.2030359e-06
fed_funds,-2.9993244e-06
corp_bond_spread,-5.125534e-06
industrial_production,-5.338108e-06
hy_ccc_spread,-8.060364e-06
building_permits,-1.6028527e-05
